Acc,Fault Type,RUL
22.967,1,0
-1.7307,1,0
-2.6381,1,0
-18.556,1,0
-15.122,1,0
4.4701,1,0
15.753,1,0
2.6183,1,0
2.9921,1,0
-5.392,1,0
-27.027,1,0
-31.648,1,0
5.6306,1,0
8.8695,1,0
24.058,1,0
21.646,1,0
12.899,1,0
-15.519,1,0
-11.917,1,0
6.7439,1,0
1.8166,1,0
14.902,1,0
13.965,1,0
14.537,1,0
-8.3952,1,0
-5.9882,1,0
-23.836,1,0
-7.3859,1,0
9.0416,1,0
17.586,1,0
28.001,1,0
20.817,1,0
-16.894,1,0
-24.489,1,0
-13.6,1,0
-10.343,1,0
8.1232,1,0
9.7385,1,0
6.2758,1,0
13.497,1,0
-12.819,1,0
-9.5683,1,0
-9.1055,1,0
-9.5366,1,0
-12.188,1,0
7.0036,1,0
6.5252,1,0
12.09,1,0
5.255,1,0
-9.3354,1,0
1.1861,1,0
-19.191,1,0
-5.8621,1,0
11.992,1,0
16.139,1,0
-16.668,1,0
8.4074,1,0
25.72,1,0
-0.23907,1,0
-36.01,1,0
-28.967,1,0
0.046258,1,0
27.921,1,0
30.914,1,0
3.2928,1,0
-20.828,1,0
-36.637,1,0
-15.908,1,0
1.012,1,0
21.158,1,0
41.607,1,0
23.101,1,0
7.4594,1,0
-8.4723,1,0
-21.525,1,0
-2.9541,1,0
3.6146,1,0
24.735,1,0
30.67,1,0
6.3252,1,0
-21.756,1,0
-20.295,1,0
-30.306,1,0
-8.2513,1,0
23.904,1,0
19.54,1,0
18.699,1,0
-1.9436,1,0
-19.445,1,0
-25.013,1,0
-22.34,1,0
21.389,1,0
24.394,1,0
20.414,1,0
-1.6149,1,0
-24.614,1,0
-37.149,1,0
-16.707,1,0
-2.6588,1,0
19.188,1,0
36.887,1,0
-4.2779,1,0
-5.4565,1,0
-34.984,1,0
-30.392,1,0
-7.453,1,0
6.7485,1,0
32.129,1,0
18.399,1,0
-1.5,1,0
-13.849,1,0
-36.943,1,0
-11.453,1,0
5.564,1,0
27.648,1,0
14.211,1,0
-0.99866,1,0
-9.1507,1,0
-21.606,1,0
-14.508,1,0
5.1586,1,0
11.143,1,0
39.757,1,0
21.094,1,0
20.637,1,0
-11.736,1,0
-23.934,1,0
-16.816,1,0
-2.5689,1,0
17.469,1,0
29.362,1,0
12.563,1,0
0.2153,1,0
-13.462,1,0
-27.562,1,0
5.2515,1,0
-2.1986,1,0
27.787,1,0
20.519,1,0
0.082233,1,0
-13.694,1,0
-43.263,1,0
-12.539,1,0
